_id,dateTime,dow,dateTime,nasdaq,dateTime,sp
5c62152737c1383248ccedf8,7/1/2014,16956.07,7/1/2014,4458.651,7/1/2014,1973.32
5c62152737c1383248ccedf9,7/2/2014,16976.24,7/2/2014,4457.734,7/2/2014,1974.62
5c62152737c1383248ccedfa,7/3/2014,17068.26,7/3/2014,4485.925,7/3/2014,1985.44
5c62152737c1383248ccedfb,7/7/2014,17024.21,7/7/2014,4451.53,7/7/2014,1977.65
5c62152737c1383248ccedfc,7/8/2014,16906.62,7/8/2014,4391.463,7/8/2014,1963.71
5c62152737c1383248ccedfd,7/9/2014,16985.61,7/9/2014,4419.034,7/9/2014,1972.83
5c62152737c1383248ccedfe,7/10/2014,16915.07,7/10/2014,4396.204,7/10/2014,1964.68
5c62152737c1383248ccedff,7/11/2014,16943.81,7/11/2014,4415.49,7/11/2014,1967.57
5c62152737c1383248ccee00,7/14/2014,17055.42,7/14/2014,4440.419,7/14/2014,1977.1
5c62152737c1383248ccee01,7/15/2014,17060.68,7/15/2014,4416.387,7/15/2014,1973.28
5c62152737c1383248ccee02,7/16/2014,17138.2,7/16/2014,4425.968,7/16/2014,1981.57
5c62152737c1383248ccee03,7/17/2014,16976.81,7/17/2014,4363.447,7/17/2014,1958.12
5c62152737c1383248ccee04,7/18/2014,17100.18,7/18/2014,4432.146,7/18/2014,1978.22
5c62152737c1383248ccee05,7/21/2014,17051.73,7/21/2014,4424.704,7/21/2014,1973.63
5c62152737c1383248ccee06,7/22/2014,17113.54,7/22/2014,4456.016,7/22/2014,1983.53
5c62152737c1383248ccee07,7/23/2014,17086.63,7/23/2014,4473.697,7/23/2014,1987.01
5c62152737c1383248ccee08,7/24/2014,17083.8,7/24/2014,4472.107,7/24/2014,1987.98
5c62152737c1383248ccee09,7/25/2014,16960.57,7/25/2014,4449.563,7/25/2014,1978.34
5c62152737c1383248ccee0a,7/28/2014,16982.59,7/28/2014,4444.909,7/28/2014,1978.91
5c62152737c1383248ccee0b,7/29/2014,16912.11,7/29/2014,4442.698,7/29/2014,1969.95
5c62152737c1383248ccee0c,7/30/2014,16880.36,7/30/2014,4462.902,7/30/2014,1970.07
5c62152737c1383248ccee0d,7/31/2014,16563.3,7/31/2014,4369.773,7/31/2014,1930.67
5c62152737c1383248ccee0e,8/1/2014,16493.37,8/1/2014,4352.639,8/1/2014,1925.15
5c62152737c1383248ccee0f,8/4/2014,16569.28,8/4/2014,4383.889,8/4/2014,1938.99
